ID,attention,condition,condition_dum,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,EGA_1_1,EGA_2_1,EGA_3_1,EGA_4_1,EGA_5_1,EGA_6_1,EGA_7_1,EGA_8_1,EGA_9_1,EGA_10_1,EGA_11_1,state,city,age,gender,gender_3_TEXT,race,race_16_TEXT,education,comments,PROLIFIC_PID
80,4,Mothers,0,12,13,3,1,8,4,5,6,2,16,18,9,17,10,14,11,15,7,7,2,1,5,1,2,7,4,7,7,4,Texas,Dallas,23,2,,2,,5,,611dddc3d768df1f8097dc94
81,4,Mothers,0,16,9,1,7,14,6,12,3,5,11,18,8,17,2,10,15,13,4,6,1,1,1,1,2,4,7,7,1,4,Texas,Castroville,24,2,,1,,2,,61086f423454ad42b8df6c6b
82,4,Fathers,1,11,7,14,6,15,17,3,10,8,1,2,16,4,18,9,5,13,12,7,1,1,1,1,1,1,7,7,1,1,Wisconsin,Madison,36,2,,1,,6,,60fe1dea817e3234e9b8c122
83,4,Fathers,1,9,3,1,2,13,12,4,10,7,8,14,18,5,16,11,15,17,6,7,1,1,1,1,1,4,7,7,4,4,California,La Quinta,61,2,,1,,8,,5b68d45687af3100015849a9
84,4,Mothers,0,12,14,11,1,3,7,13,5,2,18,15,4,17,9,10,16,6,8,7,1,1,1,1,1,1,4,7,4,4,Michigan,Detroit,33,1,,4,,6,n/a,5e71538a5a6f13000be49db8
85,4,Fathers,1,2,1,9,5,8,15,10,13,11,4,6,12,3,16,18,7,14,17,7,1,1,1,1,1,7,7,7,1,1,WA,Olympia,33,1,,1,,3,,6303f4acbfbdfe32998eff9f
86,4,Fathers,1,6,1,7,13,15,17,12,11,14,5,8,18,2,10,9,4,3,16,6,3,1,1,1,1,2,3,7,1,1,California,San Francisco,26,1,,4,,5,,5add4ae309eae2000112d116
87,4,Fathers,1,2,1,3,8,13,16,14,12,18,4,6,17,5,11,15,7,9,10,7,1,5,1,1,2,7,6,7,4,4,Ohio,Tiffin,48,2,,1,,5,,626c10f079cdf71ed9128bfd
88,4,Mothers,0,9,5,7,1,2,3,6,12,4,17,14,18,16,11,10,15,13,8,7,1,1,1,1,4,4,7,7,4,7,NC,Charlotte,30,1,,3,,3,,5c8d1bee1bb19f00019d519e
89,4,Fathers,1,2,1,3,18,15,17,12,8,11,4,6,16,5,14,13,7,10,9,7,1,1,1,1,1,1,7,7,1,1,ny,Buffalo,43,2,,1,,6,,63174aac444214bf1829098d
