id,study,study_dum,cond,targ.gend,targ.gend.dum,day,day.dum,warmth,competence,ideal,feminine,masculine,earner
212,2,0,4,father,1,saturday,1,5.5,4.166666667,5,6,5,3
214,2,0,4,father,1,saturday,1,8.75,7.5,7,1,7,5
217,2,0,4,father,1,saturday,1,7.375,5.833333333,5,5,5,5
220,2,0,4,father,1,saturday,1,8.375,7.5,6,2,8,8
228,2,0,4,father,1,saturday,1,6.75,5.5,3,7,3,6
230,2,0,4,father,1,saturday,1,8.375,7.416666667,5,2,8,7
238,2,0,4,father,1,saturday,1,8.125,6.916666667,6,3,8,6
243,2,0,4,father,1,saturday,1,7.875,5.666666667,6,6,5,5
248,2,0,4,father,1,saturday,1,8.25,7.333333333,6,2,8,7
271,2,0,4,father,1,saturday,1,9,7.333333333,5,1,9,9
279,2,0,4,father,1,saturday,1,8.875,7.666666667,7,2,7,4
283,2,0,4,father,1,saturday,1,9,7.666666667,6,1,9,9
469,2,0,4,father,1,saturday,1,7.75,6.666666667,6,3,7,6
486,2,0,4,father,1,saturday,1,8.375,7.416666667,4,6,5,5
495,2,0,4,father,1,saturday,1,9,7.666666667,6,1,9,7
528,2,0,4,father,1,saturday,1,8.875,7.75,6,1,9,9
548,2,0,4,father,1,saturday,1,8.125,6.5,5,5,4,5
566,2,0,4,father,1,saturday,1,7.625,5.75,4,5,5,6
577,2,0,4,father,1,saturday,1,7.5,5.833333333,6,5,5,5
609,2,0,4,father,1,saturday,1,5.375,4.5,2,9,3,3
633,2,0,4,father,1,saturday,1,7.625,6.833333333,4,3,7,5
649,2,0,4,father,1,saturday,1,7,5.083333333,5,4,5,1
682,2,0,4,father,1,saturday,1,7.75,6.083333333,5,5,7,8
694,2,0,4,father,1,saturday,1,7.375,6.083333333,3,4,7,5
720,2,0,4,father,1,saturday,1,8.5,7.416666667,7,2,7,8
731,2,0,4,father,1,saturday,1,8.875,6.583333333,5,3,7,3
768,2,0,4,father,1,saturday,1,9,7.666666667,6,1,7,9
777,2,0,4,father,1,saturday,1,7.375,5.416666667,5,5,5,5
812,2,0,4,father,1,saturday,1,7.75,6.833333333,6,5,5,7
819,2,0,4,father,1,saturday,1,8.75,7.333333333,6,3,7,6
849,2,0,4,father,1,saturday,1,8.125,6.25,3,1,6,7
853,2,0,4,father,1,saturday,1,9,7.833333333,7,3,9,5
877,2,0,4,father,1,saturday,1,7.875,7.25,5,6,5,4
901,2,0,4,father,1,saturday,1,9,6.75,5,7,3,6
913,2,0,4,father,1,saturday,1,8.375,6.583333333,6,3,7,5
945,2,0,4,father,1,saturday,1,8.25,6.666666667,5,4,6,7
966,2,0,4,father,1,saturday,1,7.375,5.666666667,6,3,7,6
968,2,0,4,father,1,saturday,1,8.75,8,6,3,8,8
22,3,1,1,mother,0,tuesday,0,7.6,5.833333333,5,7,3,1
26,3,1,1,mother,0,tuesday,0,6.6,4.5,4,8,3,3
30,3,1,1,mother,0,tuesday,0,8.3,6.833333333,5,9,2,2
37,3,1,1,mother,0,tuesday,0,9,7.583333333,7,9,1,5
49,3,1,1,mother,0,tuesday,0,7,7.833333333,4,8,3,3
66,3,1,1,mother,0,tuesday,0,8,6.75,5,8,2,7
77,3,1,1,mother,0,tuesday,0,6.2,5.083333333,2,8,2,2
84,3,1,1,mother,0,tuesday,0,8.1,6.916666667,6,9,1,2
86,3,1,1,mother,0,tuesday,0,8.1,6,4,9,1,2
99,3,1,1,mother,0,tuesday,0,7.9,7.083333333,7,8,2,7
104,3,1,1,mother,0,tuesday,0,7.9,7,7,9,1,5
111,3,1,1,mother,0,tuesday,0,8.1,6.833333333,6,8,1,7
117,3,1,1,mother,0,tuesday,0,8.9,6.583333333,7,9,1,1
124,3,1,1,mother,0,tuesday,0,8.1,8,4,9,1,1
134,3,1,1,mother,0,tuesday,0,7.3,7,6,7,3,4
136,3,1,1,mother,0,tuesday,0,8.2,6.916666667,6,7,2,3
144,3,1,1,mother,0,tuesday,0,6.6,4.25,4,7,3,3
154,3,1,1,mother,0,tuesday,0,8.4,8.166666667,6,9,1,5
162,3,1,1,mother,0,tuesday,0,7.2,5.916666667,5,7,2,6
171,3,1,1,mother,0,tuesday,0,7.9,6.916666667,5,7,1,3
172,3,1,1,mother,0,tuesday,0,6,5.25,2,5,3,4
175,3,1,1,mother,0,tuesday,0,6.6,6.333333333,5,5,5,8
178,3,1,1,mother,0,tuesday,0,7.5,7.25,4,8,2,7
180,3,1,1,mother,0,tuesday,0,7.3,6.166666667,4,5,5,5
183,3,1,1,mother,0,tuesday,0,7.7,5.416666667,5,8,2,6
185,3,1,1,mother,0,tuesday,0,8.1,8,7,9,1,9
189,3,1,1,mother,0,tuesday,0,7.9,7.833333333,7,9,1,9
2,3,1,2,mother,0,saturday,1,7.2,6.916666667,5,6,3,5
8,3,1,2,mother,0,saturday,1,7.6,6.166666667,6,8,1,6
31,3,1,2,mother,0,saturday,1,5.8,5.583333333,2,5,5,3
39,3,1,2,mother,0,saturday,1,8.9,7.75,4,9,1,1
41,3,1,2,mother,0,saturday,1,8.1,7.333333333,7,9,1,5
47,3,1,2,mother,0,saturday,1,8,5.666666667,3,9,1,3
52,3,1,2,mother,0,saturday,1,7.1,6.833333333,6,8,4,2
56,3,1,2,mother,0,saturday,1,6.5,6.833333333,4,7,3,6
71,3,1,2,mother,0,saturday,1,7.9,5.916666667,4,9,1,6
82,3,1,2,mother,0,saturday,1,6.1,6.833333333,5,5,5,5
90,3,1,2,mother,0,saturday,1,7,6.25,7,6,3,3
96,3,1,2,mother,0,saturday,1,7.9,6.166666667,6,8,5,5
106,3,1,2,mother,0,saturday,1,6.7,5.916666667,6,7,2,3
116,3,1,2,mother,0,saturday,1,6.9,7.25,4,5,3,3
122,3,1,2,mother,0,saturday,1,8.1,7.416666667,5,9,1,5
130,3,1,2,mother,0,saturday,1,4.3,3.666666667,3,7,3,3
142,3,1,2,mother,0,saturday,1,7.1,7.25,5,8,1,5
149,3,1,2,mother,0,saturday,1,7.4,5.916666667,7,8,2,5
163,3,1,2,mother,0,saturday,1,7,5,4,9,1,5
168,3,1,2,mother,0,saturday,1,7,5.75,4,7,2,4
174,3,1,2,mother,0,saturday,1,5.3,5.416666667,4,5,5,5
177,3,1,2,mother,0,saturday,1,6.4,5.083333333,4,5,5,5
181,3,1,2,mother,0,saturday,1,8.5,7.75,5,7,3,8
182,3,1,2,mother,0,saturday,1,6.8,5.833333333,4,7,3,4
187,3,1,2,mother,0,saturday,1,7.7,7.5,6,6,2,8
190,3,1,2,mother,0,saturday,1,5.9,5.666666667,4,6,1,5
191,3,1,2,mother,0,saturday,1,8,7.333333333,6,9,1,8
6,3,1,3,father,1,tuesday,0,6.7,6.25,2,5,9,6
17,3,1,3,father,1,tuesday,0,8.9,7.5,6,7,3,2
23,3,1,3,father,1,tuesday,0,7.9,7.333333333,6,1,1,3
32,3,1,3,father,1,tuesday,0,8.6,6.333333333,5,1,4,5
38,3,1,3,father,1,tuesday,0,6.5,5,1,9,1,1
45,3,1,3,father,1,tuesday,0,7.3,6.583333333,3,4,6,6
48,3,1,3,father,1,tuesday,0,8.9,8.166666667,7,1,9,7
57,3,1,3,father,1,tuesday,0,7.7,6.75,4,6,8,6
72,3,1,3,father,1,tuesday,0,8.1,8,6,3,9,8
87,3,1,3,father,1,tuesday,0,6,5.583333333,4,6,6,6
91,3,1,3,father,1,tuesday,0,5.5,5.333333333,5,4,5,5
100,3,1,3,father,1,tuesday,0,7.4,5.416666667,3,3,5,1
107,3,1,3,father,1,tuesday,0,6.9,4.5,3,4,4,2
110,3,1,3,father,1,tuesday,0,7.1,5.916666667,5,2,8,6
120,3,1,3,father,1,tuesday,0,7.7,5.5,5,4,6,4
126,3,1,3,father,1,tuesday,0,8.4,7.833333333,6,4,7,7
137,3,1,3,father,1,tuesday,0,7.4,6.25,4,1,9,5
140,3,1,3,father,1,tuesday,0,8.8,6.583333333,7,1,7,7
150,3,1,3,father,1,tuesday,0,6.8,6.083333333,5,4,6,6
153,3,1,3,father,1,tuesday,0,6.9,4.25,5,6,3,1
160,3,1,3,father,1,tuesday,0,7.8,7.5,4,1,8,5
161,3,1,3,father,1,tuesday,0,7.5,6.333333333,6,5,3,8
164,3,1,3,father,1,tuesday,0,8.1,5.75,3,3,7,3
167,3,1,3,father,1,tuesday,0,8.3,7.416666667,5,3,3,8
170,3,1,3,father,1,tuesday,0,7.8,6.666666667,5,3,7,5
3,3,1,4,father,1,saturday,1,7.4,5.833333333,5,7,4,6
13,3,1,4,father,1,saturday,1,8.3,7.416666667,6,3,7,8
21,3,1,4,father,1,saturday,1,6.6,6,6,6,5,5
27,3,1,4,father,1,saturday,1,7.2,4.083333333,5,4,3,3
35,3,1,4,father,1,saturday,1,8.2,6.5,6,6,6,4
